Ем 48 80 светло серый;popular_memorials;гранит;светло-серый;92 см;80 кг;800*400*50;светло-серый гранит с маленькой плиткой
Ем 18 80 светло серый с БГП;popular_memorials;гранит;светло-серый;92 см;83 кг;800*400*50;светло-серый гранит с Большой Гранитной плиткой
Ме 202 80 светло серый с БГП;popular_memorials;гранит;светло-серый;92 см;83 кг;800*400*50;светло-серый гранит с Большой Гранитной плиткой
Ем 29 80 темно серый;popular_memorials;гранит;темно-серый;92 см;80 кг;800*400*50;темно-серый гранит 
Ем 55 80;popular_memorials;гранит;черный;92 см;80 кг;800*400*50;черный гранит
Ме 80 40 5 прямой;popular_memorials;гранит;черный;92 см;80 кг;800*400*50;черный гранит
Ме 30 80;popular_memorials;гранит;черный;92 см;80 кг;800*400*50;черный гранит
Ме 38 80;popular_memorials;гранит;черный;92 см;80 кг;800*400*50;черный гранит
Ем 18 100 светло серый с БГП;popular_memorials;гранит;светло-серый;112 см;100 кг;1000*450*50;светло-серый гранит с Большой Гранитной плиткой
Ем 15 100 светло серый с БГП;popular_memorials;гранит;светло-серый;112 см;100 кг;1000*500*50;светло-серый гранит с Большой Гранитной плиткой
Ем 19 80 светло серый с БГП;popular_memorials;гранит;темно-серый;112 см;102 кг;1000*450*50;темно-серый гранит с Большой гранитной плиткой
Ме 100 45 5 прямой;popular_memorials;гранит;черный;120 см;120 кг;1000*450*50;черный гранит
Ме 202 100;popular_memorials;гранит;черный;112 см;100 кг;1000*500*50;черный гранит
Ме 239 100;popular_memorials;гранит;черный;112 см;100 кг;1000*500*50;черный гранит
Ме 514 100;popular_memorials;гранит;черный;112 см;100 кг;1000*500*50;черный гранит
Ме 100 45 7 прямой;popular_memorials;гранит;черный;120 см;140 кг;1000*450*70 ;черный гранит
Ме 30;popular_memorials;гранит;черный;130 см;150 кг;1100*550*70;черный гранит
Ме 65;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;черный гранит
Ме 218;popular_memorials;гранит;черный;120 см;150 кг;1000*550*70;черный гранит
Ме 237;popular_memorials;гранит;черный;130 см;150 кг;1100*550*70;черный гранит
Ме 242 ВН;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;черный гранит
Ме 513 ВН;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;черный гранит
Ме 700;popular_memorials;гранит;черный;130 см;150 кг;1100*550*70;черный гранит
Ем 29;popular_memorials;гранит;черный;120 см;180 кг;1000*600*70;черный гранит
Ем 76;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;черный гранит
Ме 9 э;popular_memorials;гранит;черный;67 см;120 кг;650*1100*50;черный гранит
Ме 7 квадро;popular_memorials;гранит;черный;84 см;135 кг;820*820*50;черный гранит
Ме 110;popular_memorials;гранит;черный;120 см;200 кг;1100*500*70 - 2 шт;черный гранит
Ме 613 ВН;popular_memorials;гранит;черный;87 см;180 кг;850*1200*70;черный гранит
Ме 125;popular_memorials;гранит;черный;120 см;190 кг;1000*800*70;черный гранит
Ме 38 ВН зел;popular_memorials;гранит;зеленый;120 см;180 кг;1100*600*70;зелёный гранит
Ем 76 крас;popular_memorials;гранит;красный;130 см;180 кг;1100*600*70;красный гранит
Ем 57 корич;popular_memorials;гранит;коричневый;130 см;180 кг;1100*600*70;коричневый гранит
Ем 58 син;popular_memorials;гранит;синий;130 см;180 кг;1100*600*70;синий гранит
мр 19;popular_memorials;мрамор;розовый, серый, кремовый, бело-полосчатый, серо-голубой.;85 см;222 кг;700*400*70;мраморный памятник
мр 30;popular_memorials;мрамор;розовый, серый, кремовый, бело-полосчатый, серо-голубой.;105 см;280 кг;900*400*70;мраморный памятник
мр 55;popular_memorials;мрамор;розовый, серый, кремовый, бело-полосчатый, серо-голубой.;140 см;198 кг;1200*400*80;мраморный памятник
Ем 18 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;светло-серый гранит с маленькой плиткой
Ем 19 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;светло-серый гранит с маленькой плиткой
Ем 29 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;светло-серый гранит с маленькой плиткой
Ем 48 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;светло-серый гранит с маленькой плиткой
Ем 58 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;светло-серый гранит с маленькой плиткой
Ем 18 80 светло серый с БГП;energo80_gray;гранит;светло-серый;92 см;83 кг;800*400*50;светло-серый гранит с Большой Гранитной плиткой
Ем 19 80 светло серый с БГП;energo80_gray;гранит;светло-серый;92 см;83 кг;800*400*50;светло-серый гранит с Большой Гранитной плиткой
Ме 202 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;светло-серый гранит с маленькой плиткой
Ме 607 80 светло серый;energo80_gray;гранит;светло-серый;92 см;80 кг;800*400*50;светло-серый гранит с маленькой плиткой
